organization,description,part_id
org_26,ANO_3894 ANO_2216 ANO_4179 ANO_8174 ANO_6157 ANO_2479,id_2
org_26,ANO_5296 ANO_2643 ANO_5236 ANO_1896 ANO_3846,id_1
org_26,ANO_5098 ANO_565 ANO_2216 ANO_2643 ANO_1929 ANO_3011 ANO_7009,id_2
org_26,ANO_3894 ANO_4466 ANO_2216 ANO_4179 ANO_5880 ANO_6157,id_2
org_26,ANO_5296 ANO_2216 ANO_6242 ANO_3382 ANO_1335 ANO_397,id_1
org_26,ANO_5296 ANO_1684 ANO_2015 ANO_5154 ANO_4229 ANO_2042 ANO_136,id_3
org_26,ANO_3894 ANO_4466 ANO_6157 ANO_5880 ANO_3783 ANO_1335 ANO_3840,id_2
org_26,ANO_4836 ANO_6302 ANO_2216 ANO_2373 ANO_8174 ANO_2479,id_1
org_26,ANO_5296 ANO_4466 ANO_2643 ANO_5880 ANO_3512 ANO_2204,id_3
org_26,ANO_3894 ANO_7461 ANO_2643 ANO_3512 ANO_3840 ANO_4838,id_2
org_26,ANO_3894 ANO_5296 ANO_4478 ANO_2826 ANO_1340 ANO_7791,id_2
org_26,ANO_4776 ANO_7410 ANO_6242 ANO_3382 ANO_4213,id_1
org_26,ANO_5296 ANO_7461 ANO_3395 ANO_6242 ANO_3382 ANO_8174 ANO_2479 ANO_6157,id_1
org_26,ANO_5296 ANO_2216 ANO_6242 ANO_3382 ANO_8174 ANO_4213 ANO_6157,id_1
org_26,ANO_3894 ANO_5296 ANO_5492 ANO_2216 ANO_4179 ANO_3783 ANO_1142 ANO_4908,id_2
org_26,ANO_3894 ANO_5296 ANO_5492 ANO_565 ANO_2216 ANO_2643 ANO_1929 ANO_3011 ANO_7009,id_2
org_26,ANO_5296 ANO_938 ANO_2216 ANO_6242 ANO_3382 ANO_1335 ANO_397 ANO_2677,id_1
org_26,ANO_3894 ANO_4466 ANO_2216 ANO_4179 ANO_5880 ANO_1929,id_2
org_26,ANO_3894 ANO_565 ANO_6157,id_2
org_26,ANO_3894 ANO_5296 ANO_4478 ANO_2826 ANO_1939 ANO_7791,id_2
org_26,ANO_5296 ANO_2643 ANO_6242 ANO_3382 ANO_3998 ANO_4643,id_1
org_26,ANO_4836 ANO_6302 ANO_2216 ANO_2373 ANO_8174 ANO_4213,id_1
org_26,ANO_5296 ANO_5492 ANO_4478 ANO_1939 ANO_6242 ANO_3382 ANO_4837,id_1
org_26,ANO_5296 ANO_2216 ANO_5236 ANO_8174 ANO_6157 ANO_4213,id_1
org_26,ANO_3894 ANO_565 ANO_4908 ANO_523,id_2
org_26,ANO_3894 ANO_5296 ANO_5492 ANO_3783 ANO_1335 ANO_7283 ANO_7702 ANO_1929 ANO_4213,id_2
org_26,ANO_7461 ANO_6302 ANO_2216 ANO_2373 ANO_1335 ANO_397,id_1
org_26,ANO_3894 ANO_2216 ANO_5236 ANO_8174 ANO_6157 ANO_2479,id_2
org_26,ANO_4776 ANO_7410 ANO_6242 ANO_3382 ANO_2479,id_1
org_26,ANO_3894 ANO_5296 ANO_5236 ANO_2216 ANO_8174 ANO_6157 ANO_4213,id_2
org_26,ANO_5296 ANO_2643 ANO_6242 ANO_3382 ANO_1896 ANO_7009,id_1
org_26,ANO_3894 ANO_5296 ANO_5492 ANO_4179 ANO_4284 ANO_7618 ANO_6157,id_2
org_26,ANO_5296 ANO_4908 ANO_2216 ANO_6242 ANO_3382 ANO_1335 ANO_397,id_1
org_26,ANO_3894 ANO_5296 ANO_2643 ANO_3512 ANO_2015 ANO_5880 ANO_4069,id_2
org_26,ANO_3894 ANO_7461 ANO_2677 ANO_5880 ANO_3783 ANO_1335 ANO_3840,id_2
org_26,ANO_3614 ANO_6066 ANO_5740,id_7
org_26,ANO_3894 ANO_5296 ANO_5492 ANO_2216 ANO_3783 ANO_1142 ANO_7461 ANO_2479 ANO_2257,id_2
org_26,ANO_3894 ANO_4908 ANO_5880 ANO_3783 ANO_1335 ANO_2677,id_2
org_26,ANO_3894 ANO_5296 ANO_5492 ANO_2216 ANO_4179 ANO_3783 ANO_1142 ANO_4466 ANO_2479,id_2
org_26,ANO_3894 ANO_5296 ANO_5492 ANO_2216 ANO_4179 ANO_3783 ANO_1335 ANO_7461 ANO_4213 ANO_1929,id_2
org_26,ANO_1048 ANO_5492 ANO_3571 ANO_3311 ANO_7009 ANO_3095,id_2
org_26,ANO_3894 ANO_5296 ANO_5492 ANO_6242 ANO_8247 ANO_6982 ANO_1444 ANO_2479 ANO_3965,id_2
org_26,ANO_3894 ANO_5296 ANO_5492 ANO_2216 ANO_3783 ANO_3963 ANO_8266 ANO_2479 ANO_2539,id_2
org_26,ANO_5296 ANO_7461 ANO_5492 ANO_5880 ANO_2643 ANO_3512 ANO_4838,id_3
org_26,ANO_3894 ANO_4908 ANO_2216 ANO_6242 ANO_3382 ANO_8174 ANO_2677,id_2
org_26,ANO_3894 ANO_5296 ANO_5492 ANO_2216 ANO_4179 ANO_3783 ANO_1335 ANO_4908 ANO_2677 ANO_2479,id_2
org_26,ANO_5296 ANO_2373 ANO_5492 ANO_1216 ANO_397 ANO_2659 ANO_3095,id_1
org_26,ANO_5906 ANO_1842,id_8
org_26,ANO_5296 ANO_5492 ANO_2216 ANO_6242 ANO_3382 ANO_1335 ANO_397,id_1
org_26,ANO_3894 ANO_5296 ANO_5492 ANO_3783 ANO_2479,id_2
org_26,ANO_3894 ANO_4466 ANO_2216 ANO_6242 ANO_3382 ANO_1335 ANO_3571,id_2
org_26,ANO_5296 ANO_2826 ANO_2643 ANO_7565 ANO_6299,id_1
org_26,ANO_3894 ANO_4179 ANO_2643 ANO_5492 ANO_5377 ANO_4723 ANO_2329 ANO_2479,id_2
org_26,ANO_4908 ANO_3395 ANO_2216 ANO_7449 ANO_397 ANO_1335 ANO_1929,id_9
org_26,ANO_3894 ANO_565 ANO_4466 ANO_6242 ANO_843 ANO_5492 ANO_1929 ANO_6978 ANO_2030,id_2
org_26,ANO_3894 ANO_5296 ANO_5492 ANO_2216 ANO_4179 ANO_3783 ANO_1335 ANO_7461 ANO_1929 ANO_2479,id_2
org_26,ANO_3894 ANO_7461 ANO_5880 ANO_3783 ANO_1335 ANO_3840 ANO_2677,id_2
org_26,ANO_3894 ANO_5296 ANO_5492 ANO_8174 ANO_4179 ANO_2659 ANO_6254,id_2
org_26,ANO_5296 ANO_4908 ANO_2643 ANO_5236 ANO_1896,id_1
org_26,ANO_7461 ANO_4643 ANO_6302 ANO_2216 ANO_2373 ANO_4044 ANO_2643,id_1
org_26,ANO_3894 ANO_5296 ANO_5492 ANO_2216 ANO_4179 ANO_3783 ANO_1335 ANO_7461 ANO_4213 ANO_4643,id_2
org_26,ANO_5296 ANO_4466 ANO_2643 ANO_5880 ANO_3158 ANO_739,id_3
org_26,ANO_4836 ANO_3395 ANO_2216 ANO_2373 ANO_8174 ANO_2479,id_1
org_26,ANO_3894 ANO_5296 ANO_5492 ANO_4179 ANO_4284 ANO_2643 ANO_4033,id_2
